smiles,predict_density,predict_DetoD,predict_DetoP,predict_DetoQ,predict_DetoT,predict_DetoV,predict_HOF_S,predict_BDE,SA_calculated
O=c1[nH]c(=O)n([N+](=O)[O-])c2nc([N+](=O)[O-])c([N+](=O)[O-])nc12,1.9398088,8.087561,30.960543,4.8090816,2.8051124,584.1805,-127.045456,142.2982,3.6768805435090925
O=c1[nH]c([N+](=O)[O-])nc2c([N+](=O)[O-])n([N+](=O)[O-])nc12,1.9217863,8.356121,32.804943,5.4064927,3.2293406,598.13745,76.421616,140.03952,3.843854789678364
O=[N+]([O-])c1nc2c([N+](=O)[O-])c([N+](=O)[O-])c3c4n[nH]nc4c([N+](=O)[O-])nc3c2o1,1.8925171,7.8117037,28.564093,5.3401604,2.8392456,529.352,264.00555,224.0178,4.029482848306387
O=c1[nH][nH]c([N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])nc1-2,1.8867396,8.064966,30.31251,5.4256425,3.1337464,578.40796,53.71607,235.08777,3.6456609435245184
O=c1[nH]c2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c-2nn1[N+](=O)[O-],1.9824362,8.691088,36.04295,5.7653856,3.3998137,587.93396,38.828938,171.39618,3.689001899696878
O=[N+]([O-])c1nc2[nH]c([N+](=O)[O-])c([N+](=O)[O-])c2o1,1.9085722,8.323106,32.400925,5.604075,3.2357004,576.6042,-25.793547,260.39236,3.9203927356867103
O=c1[nH]c([N+](=O)[O-])nc2nc([N+](=O)[O-])c([N+](=O)[O-])nc12,1.9018438,7.9151287,29.341877,4.899753,2.7928221,570.7182,19.03647,216.50261,3.5947631103406392
O=c1nc([N+](=O)[O-])nc2nc([N+](=O)[O-])[nH]n12,1.8925216,7.971821,29.665756,4.649367,2.8479328,615.08716,48.25942,255.64027,3.7578085826828573
O=[N+]([O-])c1nn([N+](=O)[O-])c2c3c([N+](=O)[O-])n([N+](=O)[O-])nnc-3c([N+](=O)[O-])c12,1.9364471,8.817739,36.66702,6.5417953,3.8342235,582.61536,480.93143,119.04433,4.183369298782766
O=c1nc([N+](=O)[O-])[nH]c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,1.9268018,8.311156,32.385582,5.2299356,3.1218069,598.4036,38.245,243.84966,3.6837295589091337
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc12,1.9234364,8.242855,32.013397,5.5463634,3.156596,568.31824,216.20166,142.14342,3.8529197904670056
O=c1nc([N+](=O)[O-])[nH]c2nc3c([N+](=O)[O-])nc([N+](=O)[O-])c([N+](=O)[O-])c3nc12,1.8929467,7.784647,28.351984,4.973874,2.7192729,546.9935,96.97815,218.82724,3.7052336541457134
O=c1c([N+](=O)[O-])c([N+](=O)[O-])nc2nc([N+](=O)[O-])[nH]n12,1.9258924,8.320606,32.55643,5.2964587,3.1542332,595.70624,53.55138,222.71187,3.6059612512168258
O=[N+]([O-])c1nc2c(nc([N+](=O)[O-])c3[nH]nc([N+](=O)[O-])c32)o1,1.8922491,7.882311,29.003712,5.192923,2.8630574,550.7444,136.4972,261.85532,3.938586940270227
O=[N+]([O-])c1nc2c(o1)c([N+](=O)[O-])nc1c([N+](=O)[O-])n[nH]c12,1.8861458,7.8756537,28.934006,5.213714,2.875991,550.113,144.30756,266.99847,3.9988444301487682
O=[N+]([O-])c1c([N+](=O)[O-])c2[nH]nnn2c1[N+](=O)[O-],1.9311072,8.894708,37.08122,6.4465785,3.9946434,619.06836,377.30783,253.22096,3.693211197225171
O=[N+]([O-])c1nc2c(nnc3c([N+](=O)[O-])[nH]c([N+](=O)[O-])c32)c2n[nH]nc12,1.8685747,7.645303,27.26706,5.180102,2.8584824,551.8619,517.4055,251.02043,3.975172306410755
O=c1nc2[nH]nc([N+](=O)[O-])n2c2nc3c(cc12)c(=O)n([N+](=O)[O-])n3[N+](=O)[O-],1.8635193,7.5568967,26.460897,4.674327,2.6121309,561.76465,82.458374,138.11421,3.951317110415471
O=c1[nH]c2c(nc1[N+](=O)[O-])nc([N+](=O)[O-])c1nnn([N+](=O)[O-])c12,1.9192107,8.06556,30.768818,5.1844125,2.9826393,574.9017,245.50531,143.02652,3.9385985819068363
O=c1[nH]c(=O)n([N+](=O)[O-])c2nc([N+](=O)[O-])c3oc([N+](=O)[O-])nc3c12,1.9271771,7.751544,28.43419,4.5279527,2.4987798,553.0095,-237.97942,139.72672,3.9782477078361715
O=[N+]([O-])c1nc2c(o1)c([N+](=O)[O-])nc1n[nH]c([N+](=O)[O-])c12,1.8844769,7.8624544,28.82732,5.221731,2.872802,549.68604,147.5622,261.68814,4.006297061727716
O=c1[nH]c([N+](=O)[O-])nc2c1c(=N[N+](=O)[O-])[nH]n2[N+](=O)[O-],1.9275905,8.360317,32.876736,5.18513,3.2309766,625.82074,56.854343,136.96158,4.260015940529319
O=c1[nH]c2nc([N+](=O)[O-])c3c([N+](=O)[O-])[nH]nc3c2c(=O)n1[N+](=O)[O-],1.9140463,7.710947,28.05736,4.529057,2.5723407,569.3505,-94.254196,172.94856,3.9395801597592497
O=[N+]([O-])c1nc2n[nH]c([N+](=O)[O-])c2c2c1nnn2[N+](=O)[O-],1.898108,8.298066,32.31682,5.808889,3.4305637,589.74164,494.67093,120.86868,4.030918924075895
O=c1c2c([N+](=O)[O-])c([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],1.9349853,8.49383,34.059532,5.632873,3.3221178,588.1768,-11.546124,142.4972,3.8501371223689427
O=c1c2c(c([N+](=O)[O-])cc3nc4c([N+](=O)[O-])oc([N+](=O)[O-])c4c(=O)n32)n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9065869,7.902513,29.320286,5.1543374,2.764391,534.5765,-229.82146,129.15933,4.268885133023442
O=c1[nH]c2[nH]c(=O)n([N+](=O)[O-])c(=O)c2nc1[N+](=O)[O-],1.9257451,7.569166,27.136736,3.941317,2.2933497,583.72473,-333.55408,178.64676,3.8071846358322095
C[N+]1=C=[N+]2NC(C=N[N+](=O)[O-])n3c(c([N+](=O)[O-])c4c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c43)N2C[N+]1([O-])[N+](=O)[O-],1.8161849,8.203636,30.662306,6.088453,3.7319305,612.4815,291.32803,185.08244,5.818676500672816
O=c1nc([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])c3oc([N+](=O)[O-])nc3c12,1.8816305,7.5252523,26.39675,4.5552254,2.4482248,538.647,-107.1259,255.32655,3.9339936191276808
O=c1[nH]c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n1[N+](=O)[O-],1.977451,8.7639,36.545692,5.461097,3.4335477,629.2714,21.280046,142.416,4.06739709538635
O=[N+]([O-])c1cn([N+](=O)[O-])c2c(c([N+](=O)[O-])nc3nn[nH]c32)c2oc1=2,1.8071221,7.5089803,25.74932,5.22186,2.8820972,550.1409,272.16934,153.40604,4.325317419374635
O=[N+]([O-])c1cc2c([N+](=O)[O-])[nH]c3nn([N+](=O)[O-])nc3c-2n1,1.8554971,7.8148484,28.276896,5.3821845,3.0778306,571.7324,334.80667,153.72061,4.0402784382459345
O=[N+]([O-])Nc1c([N+](=O)[O-])c([N+](=O)[O-])c2nc3c4nn[nH]c4nc-3n([N+](=O)[O-])c2c1[N+](=O)[O-],1.8803442,8.142325,30.952127,5.6908994,3.287547,575.8663,460.801,126.37732,4.172764425759086
O=[N+]([O-])c1cc2nc3nc([N+](=O)[O-])c4[nH]nc([N+](=O)[O-])c4c3nc([N+](=O)[O-])c-2n1,1.8316144,7.457937,25.576809,5.0834756,2.7148485,534.23047,377.25064,239.85133,3.8941856615407
O=c1[nH]c(=O)n2c([N+](=O)[O-])c([N+](=O)[O-])nc2n1[N+](=O)[O-],1.9582995,8.324068,32.87682,4.8495383,2.9436162,608.7379,-181.61946,153.28111,3.763189464030491
O=c1c2c([N+](=O)[O-])[nH]cc2nc([N+](=O)[O-])n1[N+](=O)[O-],1.8745162,7.963571,29.525951,5.2694435,3.0492978,578.58466,-0.89715326,139.251,3.997272943524517
O=[N+]([O-])c1[nH]c2nc3n[nH]c([N+](=O)[O-])c3c(O)c2c1[N+](=O)[O-],1.8641835,7.5096216,26.129374,4.6654787,2.612501,561.4209,-26.878614,262.7458,3.7610685983862355
O=[N+]([O-])c1c([N+](=O)[O-])c2c(c([N+](=O)[O-])nn2[N+](=O)[O-])c2[nH]nnc12,1.9104064,8.453831,33.557785,6.0699143,3.5480497,581.8267,429.4611,126.987045,3.993104198220788
O=c1nc([N+](=O)[O-])[nH]c2c1nc([N+](=O)[O-])n2[N+](=O)[O-],1.9004135,8.263571,31.925714,5.300311,3.1805708,600.65454,51.7067,140.05527,3.795227097370671
O=c1[nH]c2nc([N+](=O)[O-])c([N+](=O)[O-])n2c(=O)n1[N+](=O)[O-],1.949659,8.326086,32.803913,4.8878255,2.9719195,609.04535,-174.70576,172.59021,3.836121416693212
O=c1[nH]c2[nH]c([N+](=O)[O-])c([N+](=O)[O-])c2c(=O)n1[N+](=O)[O-],1.9433477,8.059798,30.734417,4.693625,2.7675214,591.3437,-257.23886,183.89485,3.844556919651792
O=c1c2c([N+](=O)[O-])c([N+](=O)[O-])c3nnnn3c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9693403,8.642963,35.516758,5.744028,3.380948,586.4821,216.3971,136.46835,3.9294990929322795
O=[N+]([O-])c1nnc2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n([N+](=O)[O-])c1-2,1.9493533,9.034972,38.557377,6.7863607,4.0236263,586.7843,361.00333,111.904495,3.756484665032202
O=c1nc([N+](=O)[O-])n([N+](=O)[O-])c2[nH]c([N+](=O)[O-])nc12,1.9061866,8.281127,32.10567,5.288728,3.174973,601.369,44.39098,126.30118,3.795227097370671
O=c1[nH]c2c([N+](=O)[O-])c([N+](=O)[O-])[nH]c2nc1[N+](=O)[O-],1.932879,7.9904037,30.095366,4.8528404,2.7973745,578.57434,-97.806984,253.74179,3.560939097370671
O=c1[nH]c2c(=O)[nH]c([N+](=O)[O-])nc2nc1[N+](=O)[O-],1.8967291,7.3615513,25.382347,3.9507794,2.2319722,568.06696,-209.1105,242.50171,3.5188586952226846
O=c1nc([N+](=O)[O-])nc2[nH]c([N+](=O)[O-])c([N+](=O)[O-])n12,1.9231049,8.19057,31.471247,4.981086,2.965001,597.11926,-36.760082,242.89183,3.7710018666014395
O=[N+]([O-])c1nnc2nc([N+](=O)[O-])c3[nH]nc([N+](=O)[O-])c3c2n1,1.8836669,7.961999,29.629753,5.4214153,3.0758562,565.9113,460.2767,246.09998,3.8496741264175256
O=[N+]([O-])c1nc2[nH]c([N+](=O)[O-])c([N+](=O)[O-])n2n1,1.9325475,8.700881,35.56915,5.847976,3.6314616,621.7732,227.48538,252.55588,3.82519273568671
O=[N+]([O-])c1nnc2nc3c([N+](=O)[O-])c([N+](=O)[O-])c4c([N+](=O)[O-])coc4n3nc1-2,1.887592,7.8872695,29.04935,5.5849056,2.9786577,530.10175,353.60428,223.0297,3.8558283948650915
O=c1nc([N+](=O)[O-])[nH]c2c([N+](=O)[O-])nc3c([nH]c(=O)n3[N+](=O)[O-])c12,1.9104364,7.6346226,27.540451,4.3853846,2.4845953,568.6703,-140.81631,151.97679,3.9547633328361727
O=c1[nH]c(=O)n2c([N+](=O)[O-])c([N+](=O)[O-])nc2[nH]1,1.8792396,7.443765,25.620478,3.8266778,2.275515,600.69006,-286.82263,251.77069,3.4616173510713253
O=c1c2nc3[nH]c(=O)n4nc([N+](=O)[O-])nc4c3nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9262031,7.7963476,28.859644,4.5039377,2.562285,571.0731,2.7629879,141.09412,4.06940930021945
N=c1c2c([N+](=O)[O-])nc([N+](=O)[O-])nc2n([N+](=O)[O-])c2c1c(=O)[nH]c(=O)n2[N+](=O)[O-],1.9069963,7.8897467,29.208181,4.7810917,2.7716582,581.57007,-77.22143,130.4563,4.186605407351185
O=c1[nH]c2nc([N+](=O)[O-])c([N+](=O)[O-])nc2n1[N+](=O)[O-],1.9360363,8.34127,32.893528,5.1983805,3.1198962,601.22455,29.155321,147.69014,3.7506452512168256
O=c1[nH][nH]c2c(=O)n([N+](=O)[O-])c3nc([N+](=O)[O-])c([N+](=O)[O-])n3c12,1.9214991,8.065096,30.715427,5.0333524,2.9465563,585.63525,-5.5838294,157.70483,4.001291601473204
O=[N+]([O-])c1[nH]nc2nc([N+](=O)[O-])c3c(nc([N+](=O)[O-])n3[N+](=O)[O-])c12,1.904498,8.312042,32.456573,5.755339,3.3462918,579.7121,341.3419,123.339935,4.019137130913095
O=[N+]([O-])c1[nH]c(O)c2nc([N+](=O)[O-])c3c(nnn3[N+](=O)[O-])c12,1.8974683,7.970194,29.793999,5.1898518,2.9974585,578.9301,163.34387,128.81566,4.139415925635257
O=c1[nH]c2c(=O)[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])c1[N+](=O)[O-],1.9228902,7.8575683,29.005505,4.8153105,2.70373,563.5147,-157.56746,213.94786,3.223703480572029
O=[N+]([O-])c1c2c3c([N+](=O)[O-])n[nH]c3[nH]nc-2c2c1nnn2[N+](=O)[O-],1.8811436,7.956178,29.6955,5.5477557,3.1950903,575.0613,540.17004,151.59067,4.153516020773235
O=[N+]([O-])c1cc([N+](=O)[O-])c2c(n1)c1c([N+](=O)[O-])c([N+](=O)[O-])[nH]c1c1nnnn12,1.8552806,7.7087536,27.421148,5.3197865,2.9159205,548.2,421.44064,238.05766,3.793675560856995
O=c1c2c([N+](=O)[O-])c([N+](=O)[O-])[nH]c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9839048,8.654068,35.73495,5.50056,3.2738292,593.3668,-156.58249,154.7297,4.044726474407993
O=[N+]([O-])c1nc2[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])c1[N+](=O)[O-],1.9014674,8.447548,33.304962,5.970877,3.4771123,581.3064,204.1907,212.66135,3.417456487565037
O=[N+]([O-])c1nc([N+](=O)[O-])c2n[nH]c([N+](=O)[O-])c2c1[N+](=O)[O-],1.9296368,8.544242,34.415424,6.056846,3.5175447,578.6278,231.2742,217.32602,3.646889774278323
O=c1[nH]c2c(c(=O)n([N+](=O)[O-])c(=O)n2[N+](=O)[O-])c2c1cnn2[N+](=O)[O-],1.9072634,7.8043904,28.556858,4.714384,2.6800067,569.94226,-166.81516,135.51466,4.102712075337481
O=[N+]([O-])c1noc2c([N+](=O)[O-])n[nH]c12,1.8736404,8.407557,32.762478,6.112208,3.624313,591.0582,221.42807,284.19452,3.5744538650443642
O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc2n1,1.932028,8.488513,34.037918,5.9078026,3.386521,571.009,340.65213,138.1878,3.962904218259336
O=c1c2c(cnn2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9405675,8.560436,34.54208,5.646522,3.403812,601.32733,10.751666,130.00783,4.155067570539367
O=c1c2cc([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],1.8624637,7.8795476,28.733406,5.137746,2.9644256,577.821,-32.769283,138.03667,3.788910481986056
O=[N+]([O-])Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2c([N+](=O)[O-])n3nnnc3c([N+](=O)[O-])c12,1.9395081,8.690244,35.634483,6.2926917,3.6780055,581.2288,417.44333,128.24666,3.796197456681651
O=c1[nH]c(=O)n2nc([N+](=O)[O-])nc2[nH]1,1.8576546,7.082713,23.125593,3.197635,1.979016,623.8562,-220.23099,273.61243,3.542134026987684
O=[N+]([O-])c1noc2c1[nH]c1c([N+](=O)[O-])nn([N+](=O)[O-])c12,1.9095486,8.444641,33.520657,6.077743,3.5351512,578.0076,282.3778,142.65884,4.026464513340155
N=c1[nH]c(=N[N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])c([N+](=O)[O-])nc12,1.9097365,8.489504,33.7899,5.6678514,3.5185754,621.2091,296.89825,129.82504,4.39968994684716
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2c([n+]1[O-])N=N2,1.9469801,8.752145,36.09826,6.1724734,3.6645515,592.4958,264.91064,227.16476,4.18871990391976
O=[N+]([O-])c1nc([N+](=O)[O-])c2[nH]c([N+](=O)[O-])c([N+](=O)[O-])c2n1,1.9248492,8.412341,33.29116,5.743251,3.3255634,577.43207,140.21509,248.27484,3.731177606446156
O=[N+]([O-])c1[nH]c2nc([N+](=O)[O-])c3nnn([N+](=O)[O-])c3c2c1[N+](=O)[O-],1.9127471,8.376335,33.003162,5.838184,3.3984978,581.27527,357.17575,119.92021,4.004587852066941
O=[N+]([O-])c1[nH]c2c([N+](=O)[O-])noc2c1[N+](=O)[O-],1.9214889,8.597564,34.651005,6.24421,3.6110528,575.7535,124.512634,261.75433,3.6922450433790175
O=C1c2c(nc(O)c3n[nH]c([N+](=O)[O-])c23)-c2nc([N+](=O)[O-])nn21,1.8445214,7.054277,22.93307,4.0982995,2.188917,535.9294,9.772372,271.64697,3.9409419707760307
O=c1c([N+](=O)[O-])nn([N+](=O)[O-])c2nc3c([N+](=O)[O-])n[nH]c3c([N+](=O)[O-])c12,1.9201772,8.253668,32.211052,5.61203,3.1932778,567.58466,225.64236,124.62915,3.9287565797646637
Nc1c([N+](=O)[O-])nc2[nH]c([N+](=O)[O-])c([N+](=O)[O-])c2c1[N+](=O)[O-],1.8975623,8.100531,30.645773,5.3430166,3.139388,588.47577,39.385334,242.76567,3.5608035191300758
O=[N+]([O-])c1nn2c([N+](=O)[O-])c([N+](=O)[O-])n3nnnc3c2c1[N+](=O)[O-],1.9445258,8.794731,36.46673,6.3907247,3.774081,587.9452,565.35583,223.51706,3.7178275155284792
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c2[nH]c(=O)n([N+](=O)[O-])c(=O)n12,1.9545047,8.067618,30.966625,4.4968143,2.7607875,616.0969,-275.70563,181.89902,3.7522461845347337
O=c1c2nc([N+](=O)[O-])c([N+](=O)[O-])nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9776059,8.668376,35.88142,5.606143,3.3011975,585.9889,-17.117552,129.95119,3.941536277935427
O=c1c2c([N+](=O)[O-])c3cc([N+](=O)[O-])c([N+](=O)[O-])nc3nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9235289,8.112597,31.050617,5.351151,2.9588819,551.2159,-46.23009,138.3587,3.9367703702690644
O=c1[nH]c(=O)c2c(=O)c3c([N+](=O)[O-])[nH]n([N+](=O)[O-])c-3nc2[nH]1,1.8669136,7.07553,23.333464,3.6767352,2.0691445,568.00684,-318.5146,160.80151,3.783658950407096
O=c1nc2nc([N+](=O)[O-])[nH]c(=N[N+](=O)[O-])c2nn1[N+](=O)[O-],1.9462504,8.484251,34.09501,5.348335,3.2930186,616.3165,206.68924,146.87914,4.257507631421181
O=c1[nH]c2n[nH]nc2c(=O)n1[N+](=O)[O-],1.8822055,7.5914097,26.975712,4.074022,2.5317576,624.1609,-52.1152,164.73233,3.8043911120079272
Nn1c(=O)[nH]c2c([N+](=O)[O-])n([N+](=O)[O-])nc2c1=O,1.896992,7.9398584,29.453207,4.649487,2.8980565,627.1331,-86.47855,147.44043,3.803887111752962
O=c1c2c([N+](=O)[O-])c3c([N+](=O)[O-])cc([N+](=O)[O-])nc3nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9206591,8.09403,30.909449,5.3272634,2.947741,552.1741,-48.150967,140.94635,3.9488541309528244
O=[N+]([O-])c1cn2c([N+](=O)[O-])nc-2c2nc([N+](=O)[O-])oc2n1,1.849056,7.7382584,27.6109,5.154368,2.849481,551.4903,126.07385,259.79666,3.924405563752007
O=C1N2C3C(N2[N+](=O)[O-])C2([N+](=O)[O-])C1([N+](=O)[O-])[N+]([O-])(CCO[N+](=O)[O-])C32[N+](=O)[O-],1.8456877,8.624261,34.128815,6.3353853,4.088312,645.3816,-52.25652,144.12924,7.291537647714552
O=[N+]([O-])NN=c1c([N+](=O)[O-])nnc2[nH]c([N+](=O)[O-])c([N+](=O)[O-])n12,1.9276195,8.854774,36.80565,6.1164436,3.8977108,637.44385,393.0787,143.15117,4.288006859985183
O=[N+]([O-])c1nc2c3c(nnc4c([N+](=O)[O-])c[nH]c43)[nH]c([N+](=O)[O-])c-2c1[N+](=O)[O-],1.8447536,7.436801,25.570747,5.060343,2.7051451,534.1318,280.95328,238.11069,3.898053698508818
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])[nH]c12,1.9104353,8.055502,30.364897,5.196806,3.0028958,579.3144,7.8401513,244.02917,3.505346789678363
O=c1[nH]c([N+](=O)[O-])nc2nc([N+](=O)[O-])c([N+](=O)[O-])n12,1.9164538,8.164755,31.21802,4.975511,2.9613836,596.9323,-30.861189,242.1144,3.6279295589091323
O=[N+]([O-])c1[nH]c2nc3nonc3c([N+](=O)[O-])c2c1[N+](=O)[O-],1.8884926,8.103014,30.583336,5.827746,3.2157447,550.62213,331.28604,240.94545,3.6294897742783228
O=[N+]([O-])Nc1nnnc2c([N+](=O)[O-])nc3n[nH]c([N+](=O)[O-])c3c12,1.8575984,8.022324,29.928507,5.551457,3.3028393,594.1585,535.4829,128.84477,3.9605529597870195
O=[N+]([O-])c1nnc2c3c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c3nn2c1[N+](=O)[O-],1.9543358,8.697775,35.825253,6.3850284,3.585098,557.70374,411.54752,207.40488,3.720312250610945
O=c1c2[nH]c3[nH]ncc3c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.8566495,7.456859,25.84159,4.490542,2.596317,580.46533,-34.764294,143.3587,4.121851692827336
Nc1nc2c(=O)[nH][nH]c([N+](=O)[O-])c-2c1[N+](=O)[O-],1.833998,7.39749,25.14139,4.449758,2.670128,603.5508,-11.212689,269.38693,3.4855219664559396
O=c1[nH]c2nc3nc([N+](=O)[O-])c([N+](=O)[O-])nc3n2c(=O)n1[N+](=O)[O-],1.9243289,7.8602514,29.209764,4.5093536,2.6146863,580.8091,-49.377583,172.0122,4.005790736682325
O=c1[nH]c2oc3c([N+](=O)[O-])c4c([N+](=O)[O-])c([N+](=O)[O-])n([N+](=O)[O-])c4nc3c2[nH]1,1.9121183,7.784543,28.528477,4.904571,2.672205,545.5212,-97.716156,162.23854,4.055977390816508
O=c1nc2[nH]c(=O)c([N+](=O)[O-])nc2c([N+](=O)[O-])[nH]1,1.883644,7.3287997,25.00682,3.914264,2.2213538,572.18646,-216.07465,247.73358,3.604895233684222
Nc1c(O)nc2c(=O)nc([N+](=O)[O-])[nH]c2c1[N+](=O)[O-],1.8389106,7.019423,22.621403,3.721305,2.1409137,579.6747,-275.70358,281.59756,3.598116020447595
O=c1[nH]c(O)c2c(=O)n([N+](=O)[O-])ncc2c1[N+](=O)[O-],1.885195,7.320848,25.038036,4.1237774,2.2962615,558.7084,-327.19855,185.41887,3.5955987896783634
O=[N+]c1nn([N+](=O)[O-])c(=O)c2c([N+](=O)[O-])n[nH]c12,1.9067355,8.369836,32.9298,5.633493,3.3897026,600.8894,234.15057,153.82266,4.2750231182996075
O=[N+]([O-])c1nc2c([N+](=O)[O-])n[nH]c2c2n[nH]nc12,1.8530878,7.6775417,27.353306,5.0835657,2.956188,582.98395,427.3975,257.36472,3.730775118299607
O=c1[nH]c2c(nnc3[nH]c([N+](=O)[O-])c([N+](=O)[O-])c32)c(=O)n1[N+](=O)[O-],1.9151076,7.7906647,28.680792,4.688567,2.6684127,569.39935,-39.1851,170.21643,3.8698647751438653
O=c1nc(O)[nH]c2c([N+](=O)[O-])nn([N+](=O)[O-])c12,1.8834771,7.793729,28.273876,4.5567474,2.7302446,601.5912,-136.72687,151.78693,3.764226581840557
O=[N+]([O-])c1nc2c([N+](=O)[O-])[nH]nc2o1,1.8858447,8.193307,31.243448,5.455426,3.2242851,590.59235,98.50592,275.28604,4.073655079619263
O=c1c2c([N+](=O)[O-])c3nc([N+](=O)[O-])cnc3nc2nc2c([N+](=O)[O-])c([N+](=O)[O-])[nH]n12,1.8662612,7.523081,26.278599,4.8691974,2.6068451,535.52576,175.64383,241.26729,3.8537748874390454
O=c1[nH]c([N+](=O)[O-])nc2nn([N+](=O)[O-])c([N+](=O)[O-])c12,1.9122778,8.310719,32.333447,5.364353,3.2064855,598.4907,55.343616,137.70721,3.8044790973706704
