smiles,predict_density,predict_DetoD,predict_DetoP,predict_DetoQ,predict_DetoT,predict_DetoV,predict_HOF_S,predict_BDE,SA_calculated
Nc1oc(O)c2c1c(=O)n([N+](=O)[O-])n2[N+](=O)[O-],1.8677018,7.822423,28.27816,4.610168,2.8026693,611.5955,-335.39926,147.60838,4.198713434987409
O=c1c2[nH]c(=O)n([N+](=O)[O-])c2n([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],1.9623488,8.467584,33.99799,4.969553,3.1082573,627.6979,-240.47865,134.33127,4.19675979443372
O=c1c2nn([N+](=O)[O-])nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9965488,9.002859,38.650196,5.8392024,3.6188092,619.2594,95.466644,120.20444,4.168961653379604
O=c1[nH]c(=NN[N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1[N+](=O)[O-],1.9567441,8.747031,36.213486,5.3538594,3.5322912,662.22,173.0462,138.89551,4.414839499553048
O=[N+]([O-])c1c([N+](=O)[O-])c2nn[nH]n2c1[N+](=O)[O-],1.9129069,8.849188,36.56372,6.4756303,4.0109806,618.5513,382.29,248.93854,3.642103504917479
O=c1oc2c([N+](=O)[O-])n[nH]c2nc1[N+](=O)[O-],1.892753,7.8478813,28.701424,4.8199244,2.7178118,564.89606,-101.643875,247.4742,3.5050583143465435
Nc1c([N+](=O)[O-])oc2c1c([N+](=O)[O-])nn1c([N+](=O)[O-])c(O)n[n+]21,1.8907194,8.064929,30.308786,5.23642,3.091253,590.6951,29.267488,253.84915,4.362076973478247
Nn1c(=O)n([N+](=O)[O-])c(=N[N+](=O)[O-])c2[nH]nc([N+](=O)[O-])c21,1.9384811,8.657351,35.39547,5.647885,3.6540673,648.3842,218.67911,137.86073,4.152589074977625
O=[N+]([O-])c1nc([N+](=O)[O-])n2c([N+](=O)[O-])n[nH]c12,1.9317592,8.728643,35.788887,5.975832,3.7004042,619.1159,251.0187,252.55412,3.760657351071325
O=c1c2c(N[N+](=O)[O-])c(O)[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],1.9049339,8.023183,30.194073,4.8133783,2.9181921,607.7384,-199.9759,153.54544,3.9589090749776243
Nc1c([N+](=O)[O-])c2[nH]nc([N+](=O)[O-])n2c1[N+](=O)[O-],1.9269841,8.41433,33.272125,5.532321,3.4598825,627.3929,162.74738,269.76544,3.71911624432252
O=c1c2c([N+](=O)[O-])n[nH]c2nc2n([N+](=O)[O-])nc([N+](=O)[O-])n12,1.9165988,8.235637,31.947502,5.2335153,3.124071,598.33307,190.85858,138.46182,3.951058950407095
O=c1oc(=O)n([N+](=O)[O-])c2nc3c1nn([N+](=O)[O-])[nH]c3c2=O,1.8906367,7.6603355,27.534472,4.5166807,2.5257423,560.5518,-225.7619,151.38783,4.845669605573043
O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c2c1[N+](=O)[O-],1.9202092,8.49309,33.877007,5.976278,3.4792442,579.9946,202.36035,225.0847,3.5245451588937087
Nc1c([N+](=O)[O-])[nH]c(=N[N+](=O)[O-])c2nc([N+](=O)[O-])nnc12,1.8999915,8.153152,31.159025,5.2628975,3.266157,622.0397,319.9065,187.99054,4.150526312739862
O=c1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n1[N+](=O)[O-],1.9708862,8.932321,37.836628,6.091658,3.6964033,604.5157,166.11838,126.56064,4.093409187146272
N=c1[nH]c(=O)n([N+](=O)[O-])c2c([N+](=O)[O-])n([N+](=O)[O-])nc12,1.9247354,8.420484,33.33735,5.3516684,3.3374338,625.298,94.71927,137.33533,4.339785913734633
Nn1c(=O)n2c([N+](=O)[O-])c([N+](=O)[O-])n3c(=O)c4c([N+](=O)[O-])c([N+](=O)[O-])n([N+](=O)[O-])c4nc3n2c1=O,1.9396156,8.250504,32.229023,5.150727,3.0280135,587.81195,-101.36275,149.45044,4.278773572510376
O=c1nc2[nH]c([N+](=O)[O-])nn2c([N+](=O)[O-])c1[N+](=O)[O-],1.9350572,8.335766,32.69879,5.274193,3.1337445,595.898,51.414417,224.36375,3.6757901742937475
O=c1c2c(N[N+](=O)[O-])n[nH]c2n([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],1.9138302,8.4289,33.296795,5.1988473,3.3473108,645.9781,-27.706556,134.56912,4.119775346576676
O=c1[nH]nc([N+](=O)[O-])n2nc([N+](=O)[O-])c([N+](=O)[O-])c12,1.9336559,8.500841,33.942883,5.6595106,3.3724644,596.5128,147.57489,245.13933,3.5035412512168254
O=c1[nH]c(=N[N+](=O)[O-])n2nc(N[N+](=O)[O-])nc2n1[N+](=O)[O-],1.9633687,8.751016,36.318104,5.2925305,3.507128,665.20074,177.04208,137.62555,4.353088125926675
O=c1nc2n([N+](=O)[O-])nc([N+](=O)[O-])nc-2nc1[N+](=O)[O-],1.9426745,8.506592,34.31171,5.5925417,3.3165631,591.5115,220.58807,129.11888,3.7787366952463
O=[N+]([O-])NN=c1nc([N+](=O)[O-])n([N+](=O)[O-])c2n[nH]c([N+](=O)[O-])c12,1.9400812,8.862621,37.028625,6.083254,3.8761873,638.1158,367.98367,124.849106,4.41752968470145
O=c1[nH]n2c(=O)nc([N+](=O)[O-])nc2n1[N+](=O)[O-],1.9456422,8.234647,32.201824,4.683029,2.9148643,625.7981,-70.919266,136.48692,3.94067273568671
O=c1c2c([N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])c2nc2c([N+](=O)[O-])n[nH]n12,1.9320121,8.432635,33.56215,5.6958547,3.3283708,583.28656,202.60898,138.88855,4.070156830582237
O=[N+]([O-])c1nnc2[nH]nc([N+](=O)[O-])n12,1.8906442,8.6376295,34.710407,5.9162407,3.819451,646.4772,384.78476,252.79659,3.7974133792144062
O=[N+]([O-])c1nn([N+](=O)[O-])c2nc3c([N+](=O)[O-])nnn3c([N+](=O)[O-])c12,1.945557,8.803194,36.690666,6.283818,3.7555594,596.1008,535.3909,129.52942,3.973451313605402
O=c1[nH]c2[nH]c(=O)n([N+](=O)[O-])c(=O)c2nc1[N+](=O)[O-],1.9260373,7.5757775,27.180443,3.9521399,2.2973108,583.3457,-330.2276,177.69897,3.8071846358322095
O=c1[nH]c([N+](=O)[O-])nc2nc([N+](=O)[O-])oc12,1.8825301,7.6654816,27.334993,4.493764,2.5303547,565.01044,-168.65176,260.3142,3.8945441819672943
O=c1[nH]nc([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,1.9209089,8.268756,32.070614,5.0957355,3.1311502,617.0577,162.93896,254.47772,3.393831838496811
O=c1[nH]c(=O)n([N+](=O)[O-])nc1[N+](=O)[O-],1.9463868,8.465681,33.80592,4.9021406,3.1170692,638.2427,-192.60715,148.65964,3.5334344318459845
O=c1nc2[nH][nH]n([N+](=O)[O-])n-2c1=NN[N+](=O)[O-],1.8692064,8.478292,33.14491,5.4364896,3.6923006,683.0546,240.49222,148.88522,4.709301030001091
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2n([N+](=O)[O-])nc([N+](=O)[O-])n12,1.9557537,8.689256,35.765038,5.793786,3.4684222,597.4374,236.72684,134.6611,4.159615571840978
Nc1c([N+](=O)[O-])nn2c1n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.9697394,8.901443,37.666973,5.765516,3.7346888,648.6949,132.70795,147.31764,4.190677828924832
O=c1c2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n([N+](=O)[O-])c-2nc2c1c([N+](=O)[O-])nn2C=N[N+](=O)[O-],1.9088418,8.377788,32.872597,5.88042,3.3517318,568.56964,197.68732,138.39395,4.341451101066059
O=[N+]([O-])Nc1c2c([N+](=O)[O-])n[nH]c2nc2c([N+](=O)[O-])nn([N+](=O)[O-])c12,1.9045241,8.380367,32.92424,5.7343802,3.4614081,603.45514,382.28513,141.60722,4.078346758564702
O=[N+]([O-])c1[nH]c2nnc([N+](=O)[O-])n2c1[N+](=O)[O-],1.914669,8.707387,35.43773,6.019858,3.7393298,621.41296,279.15945,247.23813,3.8589835049174797
O=c1c2cc3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc2n([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],1.9031068,8.156835,31.05049,5.2969904,3.096857,585.5858,33.014515,135.63727,4.131569083124202
Nc1c([N+](=O)[O-])nc2c([N+](=O)[O-])n[nH]n2c1=O,1.8788155,7.8179607,28.39639,4.68933,2.8991656,621.20483,74.90062,281.1045,3.6753804279944022
O=c1c2c([nH]c(=O)n2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],1.976634,8.500745,34.429893,4.9351444,3.0957174,629.01263,-248.9791,146.54855,4.253225381478254
O=[N+]([O-])NC1=C([N+](=O)[O-])N([N+](=O)[O-])C=C([N+](=O)[O-])N1[N+](=O)[O-],1.9478873,9.414125,41.56465,6.9565907,4.532395,650.2126,209.09201,122.394516,4.498440115428515
O=c1[nH]c(=O)n([N+](=O)[O-])c2c1n(N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.94691,8.396311,33.231598,4.9285645,3.084513,628.6781,-245.10533,137.551,4.118752506984327
O=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],1.9340286,8.563256,34.393036,5.250561,3.3308418,636.71387,-231.04877,144.34242,3.709401713617334
O=c1[nH]c(=O)n([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.961721,8.604372,34.936996,5.257837,3.2195923,613.94116,-259.28854,142.66702,3.360310231214438
Nc1c([N+](=O)[O-])[nH]c(=N[N+](=O)[O-])c2c1c([N+](=O)[O-])nn2N,1.8803015,8.170519,31.036259,5.2908397,3.4445217,653.5432,254.47305,193.35634,4.261032151900701
O=c1[nH]c(=O)n(N[N+](=O)[O-])c2c1n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.9555293,8.427326,33.565918,4.944679,3.0948942,628.08386,-240.53528,144.94762,4.072236717510644
O=c1c2c(nc3c([N+](=O)[O-])nnc-3n2O)n([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],1.9241984,8.291076,32.479267,5.266988,3.1773698,603.2892,63.793507,135.49525,4.175258252005466
O=c1c2nn([N+](=O)[O-])c(=O)n2c([N+](=O)[O-])nn1[N+](=O)[O-],1.979285,8.916696,37.82925,5.7766466,3.566297,616.4639,74.23743,146.15834,4.105687393024574
O=c1c2c([nH]c3c([N+](=O)[O-])ncn32)n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9245074,7.9998584,30.273762,4.866001,2.8503995,586.072,-57.89597,155.10144,4.119319848635876
Nc1c([N+](=O)[O-])c2c(=O)n([N+](=O)[O-])nc-2n([N+](=O)[O-])c1[N+](=O)[O-],1.9560103,8.689042,35.77469,5.854747,3.5577586,607.42645,92.168335,126.56668,4.005591141943847
O=[N+]([O-])N=c1c2c([N+](=O)[O-])n[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],1.9248397,8.817642,36.450512,6.1439824,3.8298376,622.9417,338.51736,120.857086,4.072433436762354
O=c1n([N+](=O)[O-])c(=O)n2c3c([N+](=O)[O-])c([N+](=O)[O-])nn3c([N+](=O)[O-])nn12,1.9776202,8.7909355,36.849773,5.6900754,3.4495134,604.6002,121.453186,161.49396,4.11987360711072
O=[N+]([O-])c1nc2[nH]c([N+](=O)[O-])c([N+](=O)[O-])n2n1,1.9326926,8.702998,35.581776,5.8497667,3.6318526,621.6798,226.73041,252.49605,3.82519273568671
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])nc([N+](=O)[O-])n12,1.9339263,8.402001,33.192303,5.4154096,3.2305205,597.2505,87.56473,237.87494,3.5034830973706708
O=c1c2c(N[N+](=O)[O-])n[nH]c2n([N+](=O)[O-])c(=O)n1O,1.9116546,8.151716,31.207546,4.8472166,3.0496597,631.79614,-142.31123,136.7758,3.912135712755287
O=c1n([N+](=O)[O-])nc2n([N+](=O)[O-])nc([N+](=O)[O-])n12,1.9974934,9.285823,41.028805,6.1713843,3.971191,643.5907,213.54922,126.042694,4.198025245959181
O=c1c2c(c([N+](=O)[O-])nn2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9959532,9.036369,38.97208,6.013501,3.6633265,606.492,23.766176,114.57376,4.179799225385829
NN=c1[nH]n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c(=O)c12,1.897778,8.438802,33.26024,5.387926,3.54209,660.41376,187.76614,147.23854,4.508785426152274
O=c1[nH]c2c([nH]c(=O)n2[N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9694278,7.9260616,30.075172,4.0844398,2.4778097,609.9699,-355.95917,163.59998,3.9395853114256303
Nc1c([N+](=O)[O-])c2n([N+](=O)[O-])c(=O)[nH]c(=O)n2c1[N+](=O)[O-],1.9291519,8.037826,30.466288,4.59688,2.822285,616.8293,-251.73174,132.40376,3.7714025947911427
O=c1n([N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n1[N+](=O)[O-],1.9948604,9.245468,40.7459,6.2940936,3.937236,623.4777,146.65042,125.06027,4.227110287098837
O=[N+]([O-])c1nn2c([N+](=O)[O-])nnc2[nH]1,1.8979603,8.636027,34.819473,5.822004,3.76745,648.2027,374.78183,267.77188,3.9418032577569146
NN=c1c2c(c([N+](=O)[O-])nn1N)c1[n+]([N+](=O)[O-])n2-c2nc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2N=N1,1.8819003,8.337456,32.40653,5.853902,3.5969133,614.15155,618.35785,166.64793,5.396660117711342
O=c1[nH]n2c([N+](=O)[O-])nc([N+](=O)[O-])c2nc1[N+](=O)[O-],1.9428589,8.446848,33.72561,5.4664454,3.2720041,598.7232,99.562225,241.13464,3.6941667896783628
O=c1c2c(nnn2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9947116,9.017188,38.813526,5.8751035,3.6553042,621.06464,109.5795,119.444626,4.1965900557464675
Nc1n[nH]c2c([N+](=O)[O-])c(=O)n([N+](=O)[O-])c(=O)n12,1.9117477,7.895454,29.35303,4.386819,2.7556005,630.6191,-137.53828,182.77376,3.77395879751401
O=c1c2c([N+](=O)[O-])c(N[N+](=O)[O-])[nH]c2n([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],1.9501206,8.54898,34.53069,5.3159003,3.3317258,627.9559,-138.20203,151.57281,4.2019743130997185
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2c([N+](=O)[O-])nc3c(nc([N+](=O)[O-])n3[N+](=O)[O-])n12,1.9717456,8.790708,36.795742,5.9760637,3.527745,587.58356,203.33691,137.82173,4.097976986180051
O=c1[nH]c2nc([N+](=O)[O-])nc([N+](=O)[O-])c2n2c(=O)n([N+](=O)[O-])c(=O)n12,1.9320592,7.952662,29.961376,4.519335,2.6549144,587.984,-195.84747,167.01683,4.019458928484334
O=[N+]([O-])c1cn2c(n1)Nc1nc([N+](=O)[O-])n([N+](=O)[O-])c1O[N+]2=O,1.8778085,8.418173,32.90353,5.910882,3.5948465,606.6385,248.38873,146.79617,4.606139524834877
O=[N+]([O-])c1c([N+](=O)[O-])n2nnc([N+](=O)[O-])c2c2c([N+](=O)[O-])n[nH]c12,1.9170357,8.413142,33.22831,5.972249,3.450662,576.09,389.96805,227.5726,3.752858284759248
O=c1nc(N[N+](=O)[O-])n2nc([N+](=O)[O-])nc2[nH]1,1.8642613,7.9650917,29.349644,4.617276,2.9758978,648.67474,92.33801,134.6966,3.881385310937546
Nc1c([N+](=O)[O-])nc([N+](=O)[O-])c2c1n([N+](=O)[O-])c([N+](=O)[O-])[n+]2O,1.9173913,8.663541,35.267136,6.047808,3.7478366,618.7661,126.2634,131.89233,4.187365327080744
O=c1nc([N+](=O)[O-])n([N+](=O)[O-])c2c1n(N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.9520484,8.798929,36.487778,5.7310405,3.5638402,622.1889,-9.851834,125.10803,4.249414441707139
O=[N+]([O-])c1noc2c([N+](=O)[O-])n[nH]c12,1.8736835,8.407981,32.764595,6.112453,3.6240993,591.0042,221.06863,284.19073,3.5744538650443642
O=c1[nH]c2nn3c(N[N+](=O)[O-])nnc3n2c([N+](=O)[O-])c1[N+](=O)[O-],1.9203489,8.296957,32.3473,5.2398114,3.2287352,617.8216,276.07715,162.75845,3.8826958523782995
O=[N+]([O-])N=c1[nH]c([N+](=O)[O-])nc2c1c1nc([N+](=O)[O-])oc1n2[N+](=O)[O-],1.9333074,8.399829,33.32902,5.5741644,3.270334,585.5434,171.24664,136.26596,4.549384646050351
O=[N+]([O-])c1nn([N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])n3c([N+](=O)[O-])nnc3c12,1.9474208,8.822616,36.820446,6.3927646,3.765224,586.37646,443.64615,125.67146,3.9701229282518895
O=c1[nH]c2nc([N+](=O)[O-])nc([N+](=O)[O-])c2o1,1.8761883,7.5840025,26.655924,4.328573,2.436859,567.03424,-217.12383,247.90921,3.525708403791981
O=[N+]([O-])Nc1c([N+](=O)[O-])c2[nH]nnn2c1[N+](=O)[O-],1.918794,8.884484,37.000095,6.315509,4.091097,647.9229,410.18765,130.74413,3.915326002914991
N=c1c2c([nH]n1[N+](=O)[O-])c(O)c([N+](=O)[O-])n2[N+](=O)[O-],1.9137392,8.463602,33.61768,5.563084,3.5066998,630.621,30.657885,154.04218,4.3468793987835435
Nc1[nH]c(=O)n([N+](=O)[O-])c(=O)c1[N+](=O)[O-],1.9349511,8.048955,30.589571,4.3351555,2.7842093,646.2317,-302.88486,179.9562,3.4964169244719328
Nc1c([N+](=O)[O-])[nH]c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],1.9051073,8.410335,33.157043,5.59826,3.543174,634.24274,174.1846,159.04523,4.038432119936268
N=c1[nH]c(N)nc2c(=N[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc12,1.8530192,7.9542756,29.22225,4.9572153,3.1687732,643.3086,234.72571,132.92763,4.293616195383043
O=c1c2nc3c([N+](=O)[O-])c([N+](=O)[O-])n4nnnc4c3nc2n([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],1.9323741,8.245045,32.13336,5.3263164,3.0983534,581.45605,306.77432,147.58508,4.134758343469282
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n2nnnc2n1[N+](=O)[O-],1.9548055,8.804792,36.714054,6.0308094,3.692805,610.86145,468.5471,130.99736,4.143816186391451
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],1.942638,8.816954,36.518345,5.7343764,3.6649055,640.0777,20.296083,141.13457,4.313915141502086
O=c1[nH]c2nnc([N+](=O)[O-])n2c([N+](=O)[O-])c1N[N+](=O)[O-],1.9015182,8.35461,32.50655,5.357403,3.3423817,625.28296,120.65564,129.63692,3.809208683635269
N=c1c2nnc([N+](=O)[O-])n2nc([N+](=O)[O-])n1[N+](=O)[O-],1.9200196,8.8596115,36.881195,6.204122,3.9684436,639.3607,468.73325,120.166534,4.00719786660144
O=c1[nH]n2nc([N+](=O)[O-])nc2c([N+](=O)[O-])c1[N+](=O)[O-],1.9391556,8.48808,33.949596,5.574636,3.335804,598.489,117.24121,227.61778,3.554436943524517
O=c1[nH]nc([N+](=O)[O-])n2c([N+](=O)[O-])c([N+](=O)[O-])nc12,1.9156381,8.3846035,32.87247,5.5209513,3.2858465,595.8426,117.03558,233.5698,3.5941089435245175
O=c1[nH]c2c(C=N[N+](=O)[O-])c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc2c(=O)n1[N+](=O)[O-],1.9181359,8.02965,30.357084,5.066421,2.9143195,576.38,35.03919,146.79007,4.391671914528219
Nc1c([N+](=O)[O-])n([N+](=O)[O-])c(=O)[nH]c1=O,1.9009458,7.92058,29.265932,4.328779,2.757575,641.5838,-308.3421,139.99585,3.4433497179941996
O=[N+]([O-])Nc1nc2nc([N+](=O)[O-])nn2c2c([N+](=O)[O-])n[nH]c12,1.8920428,8.214955,31.660603,5.3758783,3.3224075,617.5062,427.80582,156.87271,3.8770664341098335
O=c1c(N[N+](=O)[O-])c([N+](=O)[O-])nc2[nH]nc([N+](=O)[O-])n12,1.9104835,8.354016,32.71918,5.275596,3.2875118,624.07117,84.8996,137.61008,3.782825229353702
N=c1[nH]c(=O)n([N+](=O)[O-])c2c(=O)n([N+](=O)[O-])c([N+](=O)[O-])nc12,1.9261959,8.160825,31.419455,4.923333,2.9732103,605.98145,-86.141945,139.63937,4.239763033300116
O=[N+]([O-])c1nc2n[nH]nc2c([N+](=O)[O-])c1[N+](=O)[O-],1.8904799,8.382837,32.731285,5.9547753,3.5072014,588.90497,337.0785,215.04863,3.426057733684223
N=c1[nH]n2c(=O)c([N+](=O)[O-])c([N+](=O)[O-])nc2n1N[N+](=O)[O-],1.900366,8.363762,32.685604,5.2857428,3.3876898,643.34595,100.699524,149.23962,4.173255088963638
O=c1nc([N+](=O)[O-])c2nn([N+](=O)[O-])nc2n1[N+](=O)[O-],1.9748223,8.943969,37.987347,6.0192294,3.7099216,615.13257,255.20013,132.69669,4.076376020447594
Nc1nc(=N[N+](=O)[O-])[nH]c2nc([N+](=O)[O-])c([N+](=O)[O-])n12,1.8817263,8.190778,31.148783,5.0333266,3.2622714,650.76227,174.33047,177.97537,3.9609416299342532
O=c1nc([N+](=O)[O-])n2nnc([N+](=O)[O-])c2n1[N+](=O)[O-],1.9544829,8.890111,37.39138,6.011682,3.7277906,618.2703,262.4427,111.08269,3.88991263583221
O=c1c2oc([N+](=O)[O-])nc2nc([N+](=O)[O-])n1[N+](=O)[O-],1.9378469,8.474743,33.94121,5.5758476,3.2251256,575.48175,-39.943035,126.842896,4.037886481986055
O=c1[nH][nH]c2nc([N+](=O)[O-])n([N+](=O)[O-])c(=O)c12,1.8977469,7.887678,29.14868,4.6489215,2.795412,603.4741,-103.86452,147.43431,3.771389658763634
O=[N+]([O-])Nc1n[nH]c2nc([N+](=O)[O-])c([N+](=O)[O-])n12,1.8964863,8.680724,35.156456,5.873831,3.823248,652.09235,301.86823,130.63829,3.7772683106072993
O=c1[nH]c2c(=O)n(N[N+](=O)[O-])c(=O)n([N+](=O)[O-])c2[nH]1,1.9197072,7.8516245,28.980005,4.163972,2.5979605,628.4539,-326.51553,155.01964,3.9201830973706704
O=[N+]([O-])Nc1nnc2c([N+](=O)[O-])c([N+](=O)[O-])[nH]n12,1.8992568,8.823564,36.401722,6.241755,4.0665917,650.97955,399.26743,148.79047,3.821189464453454
O=c1[nH]c(=O)n2c([N+](=O)[O-])c([N+](=O)[O-])nc2n1N[N+](=O)[O-],1.921604,8.250126,31.914248,4.8396406,3.024852,627.9293,-163.26845,143.27974,3.8227308931594433
O=c1c([N+](=O)[O-])c(O)[nH]c2nc([N+](=O)[O-])nn12,1.9040403,7.7272215,27.856693,4.2577786,2.5352685,598.7075,-189.43265,284.17108,3.6542111972251714
O=[N+]([O-])c1nnn2c([N+](=O)[O-])nn([N+](=O)[O-])c12,1.9323186,9.280004,40.431858,6.9208975,4.443209,640.07623,514.4569,117.66438,3.924998889532864
Nn1c(=O)nc2[nH]nc([N+](=O)[O-])n2c1=O,1.8580334,7.4328704,25.533037,3.7651803,2.4279447,649.1743,-100.19309,257.43756,3.7820138880346867
