smiles,predict_density,predict_BDE,SA_calculated
O=c1[nH]c(=O)c2[nH]c([N+](=O)[O-])nc2[nH]1,1.815595,288.16415,3.173214188931004
O=[N+]([O-])c1cc([N+](=O)[O-])c2c(c1O)OCO2,1.8146374,283.01462,2.8295656488724816
Nc1c([N+](=O)[O-])cc2nonc2c1[N+](=O)[O-],1.8143395,290.47662,3.044020031698958
O=[N+]([O-])c1cc([N+](=O)[O-])c2[nH]c(O)c([N+](=O)[O-])c2c1,1.8137681,291.80228,3.0212354050629786
O=c1[nH][nH]c(=O)c2c([N+](=O)[O-])c([N+](=O)[O-])ccc12,1.8076825,229.10489,2.7903086952226843
O=c1[nH]c(=O)c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]1,1.8037465,238.90666,2.5692635029149926
O=c1[nH]c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2[nH]c1=O,1.8005241,282.1743,2.6250346567611444
O=c1[nH]c2c([N+](=O)[O-])ccc([N+](=O)[O-])c2[nH]1,1.7969328,298.03326,2.7740683322356308
Nc1nnc2[nH]c(=O)[nH]c2c1[N+](=O)[O-],1.7884859,314.9452,3.3176623670686567
O=[N+]([O-])c1ccc([N+](=O)[O-])c2nonc12,1.785598,270.48944,2.563369141317988
Nc1cc([N+](=O)[O-])c([N+](=O)[O-])cc1[N+](=O)[O-],1.780295,237.38504,2.5027950044290073
Nc1nc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-],1.7783322,306.50766,2.8153974914485094
O=c1cc([N+](=O)[O-])c2[nH]cc([N+](=O)[O-])c2[nH]1,1.7770393,307.6731,3.091776382325077
O=c1oc2c(O)c([N+](=O)[O-])ccc2n1O,1.7690469,309.6463,3.146638118803917
O=c1[nH]c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2[nH]1,1.7606615,287.981,2.6613831801783867
O=c1[nH]c2cc([N+](=O)[O-])ccc2nc1[N+](=O)[O-],1.7392511,253.15598,2.54057494304457
O=[N+]([O-])c1cnc2oc(O)cc2c1O,1.7313492,320.81012,3.293959937918858
O=[N+]([O-])c1cnc2oncc2c1O,1.7307765,311.54092,3.2110128269319036
O=[N+]([O-])c1c(O)nc2nnccn12,1.7294924,321.63266,3.3707205192395957
Nc1c([N+](=O)[O-])[nH]c2nc[nH]c(=O)c12,1.7294905,323.91946,3.4365607476354585
Nc1c([N+](=O)[O-])cc2nnnn2c1N,1.7283767,310.74692,3.1909336221293856
Nc1[nH]c2cn[nH]c(=O)c2c1[N+](=O)[O-],1.7274373,317.59464,3.2581749176759427
O=c1[nH]cnc2c([N+](=O)[O-])c[nH]c12,1.723523,316.494,3.1340128269319028
O=[N+]([O-])c1cc2c(c([N+](=O)[O-])c1)OCO2,1.7207403,274.3261,2.485057321430558
Nc1nc2[nH]cc([N+](=O)[O-])c2c(=O)[nH]1,1.7181733,310.9466,3.0676372658540814
O=[N+]([O-])c1cc2c(cc1[N+](=O)[O-])OCO2,1.7172832,244.26137,2.2915387473217397
O=c1nc[nH]c2c([N+](=O)[O-])cc([N+](=O)[O-])cc12,1.7154403,279.20963,2.599108053412463
O=c1nc2ncccn2c(O)c1[N+](=O)[O-],1.7118771,318.7196,2.912204413363016
Nc1[nH]nc2[nH]cc([N+](=O)[O-])c12,1.7077607,327.19208,3.4340044984707747
O=c1[nH]c2c([N+](=O)[O-])cccc2cc1[N+](=O)[O-],1.7064751,268.22937,2.430865244047915
O=[N+]([O-])c1ccc([N+](=O)[O-])o1,1.7057482,282.82318,2.6273913177295896
O=c1c(O)cc([N+](=O)[O-])c2[nH]ccn12,1.7031366,334.7311,3.357765201076753
O=c1[nH]c2cc([N+](=O)[O-])cnc2[nH]1,1.6986358,295.81445,2.6733128269319035
Nc1c([N+](=O)[O-])ccc2oc(=O)[nH]c12,1.6984135,311.22314,2.8560498164613684
O=[N+]([O-])c1ccc([N+](=O)[O-])c2[nH]ncc12,1.6962448,291.51923,2.6453687660834664
Nc1cc2[nH]cc([N+](=O)[O-])c2cc1[N+](=O)[O-],1.6921375,313.1834,2.771856167656024
O=[N+]([O-])c1cc2occ(O)c2cc1O,1.6897645,319.75375,2.690515403505904
Nc1nc2cc3[nH]c(O)c([N+](=O)[O-])c3c(O)c2[nH]1,1.6892787,340.144,3.4148929770123235
O=c1c([N+](=O)[O-])c[nH]c2cc([N+](=O)[O-])ccc12,1.6836596,273.952,2.4188552106030983
O=c1[nH]c(=O)c2cc([N+](=O)[O-])ccc2[nH]1,1.6687009,293.6202,2.1892460643949114
Nc1nnc2n1c(N)c([N+](=O)[O-])c1ccnn12,1.6685654,321.96765,3.331400133395384
Nc1cnc2[nH]c(O)c([N+](=O)[O-])c2c1,1.6607573,342.0729,3.1008826099836373
Nc1cc(O)cc([N+](=O)[O-])c1O,1.64598,317.14987,2.544080519224215
O=[N+]([O-])c1cc2c(cc1O)OCN2,1.6320267,325.40933,2.9651320577011333
Nc1cc(N)c2nc[nH]c2c1[N+](=O)[O-],1.6165303,345.66196,3.13460892577311
